State,stateid
Cordoba,6885ca54-5f33-f111-88b4-6045bde02116
CORK,73cec25a-5f33-f111-88b4-6045bde02116
CORNWALL,9ccdc25a-5f33-f111-88b4-6045bde02116
Corse (Corsica),18dacf4e-5f33-f111-88b4-6045bde02116
COSTA RICA,3ccdc25a-5f33-f111-88b4-6045bde02116
CÔTE D'IVOIRE,2fcdc25a-5f33-f111-88b4-6045bde02116
County Cavan,05dacf4e-5f33-f111-88b4-6045bde02116
County Clare,40dacf4e-5f33-f111-88b4-6045bde02116
County Durham,b7cdc25a-5f33-f111-88b4-6045bde02116
COUNTY DURHAM,6dcdc25a-5f33-f111-88b4-6045bde02116
COUNTY LOUTH,1cdacf4e-5f33-f111-88b4-6045bde02116
COUNTY TYRONE,11cec25a-5f33-f111-88b4-6045bde02116
COUNTY WESTMEATH,1ddacf4e-5f33-f111-88b4-6045bde02116
Coventry,23dacf4e-5f33-f111-88b4-6045bde02116
Crewe,25dacf4e-5f33-f111-88b4-6045bde02116
CROATIA,5ccec25a-5f33-f111-88b4-6045bde02116
Croydon,20dacf4e-5f33-f111-88b4-6045bde02116
CUBA,3dcdc25a-5f33-f111-88b4-6045bde02116
CUMBRIA,9dcdc25a-5f33-f111-88b4-6045bde02116
Cundinamarca,6985ca54-5f33-f111-88b4-6045bde02116
CYPRUS,40cdc25a-5f33-f111-88b4-6045bde02116
CZECH REPUBLIC,26dacf4e-5f33-f111-88b4-6045bde02116
Dadra  and Nagar Haveli,86cec25a-5f33-f111-88b4-6045bde02116
Daman and Diu,2adacf4e-5f33-f111-88b4-6045bde02116
Darlington,35dacf4e-5f33-f111-88b4-6045bde02116
Dartford,27dacf4e-5f33-f111-88b4-6045bde02116
default Value,17cdc25a-5f33-f111-88b4-6045bde02116
DEfault Value,8d15bb60-5f33-f111-88b4-6045bde02116
DEfault Value,8a15bb60-5f33-f111-88b4-6045bde02116
DEfault Value,7015bb60-5f33-f111-88b4-6045bde02116
DEfault Value,5f15bb60-5f33-f111-88b4-6045bde02116
DEfault Value,5e15bb60-5f33-f111-88b4-6045bde02116
Delaware,2edacf4e-5f33-f111-88b4-6045bde02116
Delhi,36dacf4e-5f33-f111-88b4-6045bde02116
DENBIGHSHIRE,aacdc25a-5f33-f111-88b4-6045bde02116
DENMARK,56cdc25a-5f33-f111-88b4-6045bde02116
Derbyshire,2ddacf4e-5f33-f111-88b4-6045bde02116
DEVON,3adacf4e-5f33-f111-88b4-6045bde02116
DEWSBURY,3bdacf4e-5f33-f111-88b4-6045bde02116
District of Columbia,28dacf4e-5f33-f111-88b4-6045bde02116
Distrito Federal,2015bb60-5f33-f111-88b4-6045bde02116
Distrito Federal,34dacf4e-5f33-f111-88b4-6045bde02116
DJIBOUTI,54cdc25a-5f33-f111-88b4-6045bde02116
Dnipropetrovsk Region,a315bb60-5f33-f111-88b4-6045bde02116
Dnipropetrovsk Region,8985ca54-5f33-f111-88b4-6045bde02116
Do Not Use - Use AGS Aguascalientes,ccd9cf4e-5f33-f111-88b4-6045bde02116
Dolno?l?skie,b4d9cf4e-5f33-f111-88b4-6045bde02116
DOMINICA,57cdc25a-5f33-f111-88b4-6045bde02116
DOMINICAN REPUBLIC,58cdc25a-5f33-f111-88b4-6045bde02116
Doncaster,37dacf4e-5f33-f111-88b4-6045bde02116
DONEGAL,7bcec25a-5f33-f111-88b4-6045bde02116
Donetsk Region,8b85ca54-5f33-f111-88b4-6045bde02116
Dorchester,38dacf4e-5f33-f111-88b4-6045bde02116
DORSET,95cdc25a-5f33-f111-88b4-6045bde02116
DOWN,7bcdc25a-5f33-f111-88b4-6045bde02116
DUBLIN,64cec25a-5f33-f111-88b4-6045bde02116
Dudley,3cdacf4e-5f33-f111-88b4-6045bde02116
Dumfries[1],2fdacf4e-5f33-f111-88b4-6045bde02116
DUN LAOGHAIRE - RATHDOWN,7dcec25a-5f33-f111-88b4-6045bde02116
DUNBARTONSHIRE,37cec25a-5f33-f111-88b4-6045bde02116
Dundee,29dacf4e-5f33-f111-88b4-6045bde02116
Durango,2815bb60-5f33-f111-88b4-6045bde02116
Durango,39dacf4e-5f33-f111-88b4-6045bde02116
Durham,33dacf4e-5f33-f111-88b4-6045bde02116
