nor_countryid,nor_name
c58751e5-5e33-f111-88b4-6045bde02116,NAURU
c78751e5-5e33-f111-88b4-6045bde02116,NEPAL
c88751e5-5e33-f111-88b4-6045bde02116,NETHERLANDS
c98751e5-5e33-f111-88b4-6045bde02116,NETHERLANDS ANTILLES
ca8751e5-5e33-f111-88b4-6045bde02116,NEW CALEDONIA
cb8751e5-5e33-f111-88b4-6045bde02116,NEW ZEALAND
63314ceb-5e33-f111-88b4-6045bde02116,NICARAGUA
64314ceb-5e33-f111-88b4-6045bde02116,NIGER
65314ceb-5e33-f111-88b4-6045bde02116,NIGERIA
66314ceb-5e33-f111-88b4-6045bde02116,NIUE
67314ceb-5e33-f111-88b4-6045bde02116,NORFOLK ISLAND
ae8751e5-5e33-f111-88b4-6045bde02116,North Macedonia
c28651e5-5e33-f111-88b4-6045bde02116,Northern Ireland
69314ceb-5e33-f111-88b4-6045bde02116,NORTHERN MARIANA ISLANDS
6b314ceb-5e33-f111-88b4-6045bde02116,NORWAY
6c314ceb-5e33-f111-88b4-6045bde02116,OMAN
6d314ceb-5e33-f111-88b4-6045bde02116,PAKISTAN
6e314ceb-5e33-f111-88b4-6045bde02116,PALAU
bf8651e5-5e33-f111-88b4-6045bde02116,PALESTINIAN AUTHORITY
6f314ceb-5e33-f111-88b4-6045bde02116,PANAMA
70314ceb-5e33-f111-88b4-6045bde02116,PAPUA NEW GUINEA
71314ceb-5e33-f111-88b4-6045bde02116,PARAGUAY
72314ceb-5e33-f111-88b4-6045bde02116,PERU
73314ceb-5e33-f111-88b4-6045bde02116,PHILIPPINES
75314ceb-5e33-f111-88b4-6045bde02116,PITCAIRN
76314ceb-5e33-f111-88b4-6045bde02116,POLAND
77314ceb-5e33-f111-88b4-6045bde02116,PORTUGAL
78314ceb-5e33-f111-88b4-6045bde02116,PUERTO RICO
79314ceb-5e33-f111-88b4-6045bde02116,QATAR
7b314ceb-5e33-f111-88b4-6045bde02116,RÉUNION
7c314ceb-5e33-f111-88b4-6045bde02116,ROMANIA
7d314ceb-5e33-f111-88b4-6045bde02116,RUSSIAN FEDERATION
7e314ceb-5e33-f111-88b4-6045bde02116,RWANDA
b98651e5-5e33-f111-88b4-6045bde02116,SAINT BARTHELEMY
7f314ceb-5e33-f111-88b4-6045bde02116,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA"
80314ceb-5e33-f111-88b4-6045bde02116,SAINT KITTS AND NEVIS
95314ceb-5e33-f111-88b4-6045bde02116,SAINT LUCIA
bd8651e5-5e33-f111-88b4-6045bde02116,Saint Martin
81314ceb-5e33-f111-88b4-6045bde02116,SAINT PIERRE AND MIQUELON
96314ceb-5e33-f111-88b4-6045bde02116,SAINT VINCENT AND THE GRENADINES
82314ceb-5e33-f111-88b4-6045bde02116,SAMOA
83314ceb-5e33-f111-88b4-6045bde02116,SAN MARINO
84314ceb-5e33-f111-88b4-6045bde02116,SAO TOME AND PRINCIPE
85314ceb-5e33-f111-88b4-6045bde02116,SAUDI ARABIA
86314ceb-5e33-f111-88b4-6045bde02116,SENEGAL
87314ceb-5e33-f111-88b4-6045bde02116,SERBIA
88314ceb-5e33-f111-88b4-6045bde02116,SERVIEN - MONTENEGRO
89314ceb-5e33-f111-88b4-6045bde02116,SEYCHELLES
8a314ceb-5e33-f111-88b4-6045bde02116,SIERRA LEONE
